,name,album,artist,id,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,track_genre_split,mood_Calm,mood_Energetic,mood_Happy,mood_Sad
51,Stay,Stay,"Zedd, Alessia Cara",spotify:track:6uBhi9gBXWjanegOb2Phh0,79,210090,0.69,0.253,0.622,0.0,0.116,0.544,-5.025,0.0622,102.04,5.0,4.0,"['complextro', 'edm', 'german techno', 'pop', 'pop dance', 'canadian contemporary r&b', 'canadian pop', 'pop']",0.036309347,0.521791,0.42384982,0.018049818
52,Oh My Goodness,In Case You Didn't Know,Olly Murs,spotify:track:2Sy1KFLXBQjxqj6lCeIBCB,43,184013,0.638,0.0244,0.803,0.0,0.169,0.756,-5.467,0.0681,128.035,8.0,4.0,"['dance pop', 'pop', 'talent show']",0.016657079,0.59809506,0.37890345,0.0063443715
53,Titanium (feat. Sia),Nothing but the Beat,"David Guetta, Sia",spotify:track:77TT8Xvx637TpzV8kKGkUw,63,245040,0.604,0.0678,0.788,0.153,0.127,0.301,-3.673,0.103,126.06,0.0,4.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'australian dance', 'australian pop', 'pop']",0.071202,0.44852334,0.41352943,0.066745125
54,Wrapped Up (feat. Travie McCoy),Never Been Better (Deluxe),"Olly Murs, Travie McCoy",spotify:track:6nM9Sr6MPcfpqwQTD7PZGi,0,185640,0.787,0.0915,0.848,0.0,0.15,0.947,-4.696,0.0549,121.989,1.0,4.0,"['dance pop', 'pop', 'talent show', 'pop rap']",0.019403191,0.6934804,0.28492156,0.0021946977
55,you broke me first,you broke me first,Tate McRae,spotify:track:45bE4HXI0AwGZXfZtMp8JR,85,169265,0.667,0.785,0.373,0.0,0.0906,0.0823,-9.389,0.05,124.148,4.0,4.0,"['alt z', 'pop']",0.41511664,0.0076805935,0.13307026,0.44413245
56,Like It Like That,Like It Like That,Guy Sebastian,spotify:track:7DHjerIyPHNokLIQOmbo9b,50,241973,0.585,0.00676,0.973,5.21e-05,0.262,0.958,-2.894,0.0733,161.05,2.0,4.0,"['australian pop', 'australian talent show']",0.02153741,0.6406509,0.33058843,0.007223297
57,No Pressure,Purpose (Deluxe),"Justin Bieber, Big Sean",spotify:track:10SDxx0CFWGqgVVBeX22TP,0,286853,0.644,0.121,0.595,0.0,0.279,0.554,-6.877,0.215,148.889,1.0,3.0,"['canadian pop', 'pop', 'detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'trap']",0.022803182,0.6060634,0.36745182,0.0036814788
58,I'm In Control,I Remember,"AlunaGeorge, Popcaan",spotify:track:6SLTPbDxDYR0uSMTT7gSb7,55,209426,0.725,0.363,0.844,0.000716,0.125,0.711,-3.707,0.0347,104.001,11.0,4.0,"['electropop', 'house', 'uk dance', 'dancehall', 'jamaican hip hop', 'reggae fusion', 'traphall']",0.05794165,0.16466291,0.76309836,0.014297008
59,Can't Remember to Forget You,Shakira. (Deluxe Version),"Shakira, Rihanna",spotify:track:4Uc6BcPeBKfZUlX6jhumGv,0,206866,0.694,0.122,0.81,0.0,0.141,0.824,-3.556,0.0661,137.968,11.0,4.0,"['colombian pop', 'dance pop', 'latin pop', 'pop', 'barbadian pop', 'pop', 'urban contemporary']",0.006123344,0.5651603,0.42651972,0.0021966526
60,"It Ain't Me, Babe (with June Carter Cash)",The Essential Johnny Cash,"Johnny Cash, June Carter Cash",spotify:track:7hJBjMGJHHQ4cR4Jhzp1d1,51,182960,0.634,0.271,0.587,0.0,0.165,0.623,-6.595,0.03,105.642,2.0,4.0,"['arkansas country', 'outlaw country', 'rock', 'country']",0.23296766,0.096198365,0.4892625,0.1815713
61,Forever Young,Casino Twilight Dogs,Youth Group,spotify:track:3tFECpGckFpp0HpQje78gi,54,239120,0.379,0.0167,0.664,0.000679,0.0915,0.301,-6.863,0.0307,115.272,11.0,4.0,[],0.2872137,0.045167893,0.07653766,0.5910807
62,Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",spotify:track:2M9ULmQwTaTGmAdXaXpfz5,76,211160,0.633,0.297,0.673,0.0,0.206,0.659,-6.403,0.258,86.776,6.0,4.0,"['pop rap', 'dance pop', 'pop']",0.0024306811,0.7922308,0.20525643,8.204958e-05
